rented_bike_count,hour,temperature,humidity,wind_speed,visibility,dew_point_temperature,solar_radiation,rainfall,snowfall,year,month,week,day,dayofweek,dayofyear,is_month_end,is_month_start,is_quarter_end,is_quarter_start,is_year_end,is_year_start,seasons_autumn,seasons_winter,seasons_summer,seasons_spring,holiday_yes,holiday_no,functioning_day_no,functioning_day_yes
254,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
204,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
173,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
107,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
78,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
100,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
181,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
460,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
930,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
490,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
339,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
360,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
449,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
451,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
447,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
463,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
484,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
555,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
862,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
600,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
426,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
405,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
398,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
323,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,2017,1,2,12,3,12,False,False,False,False,False,False,0,1,0,0,0,1,0,1
328,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
308,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
262,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
167,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
89,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
79,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
70,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
146,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
219,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
328,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
334,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
388,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
479,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
606,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
611,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
589,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
618,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
572,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
489,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
385,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
359,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
377,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
354,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
366,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,2017,2,6,12,6,43,False,False,False,False,False,False,0,1,0,0,0,1,0,1
342,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
227,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
228,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
117,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
76,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
32,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
13,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
22,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
85,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
152,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
200,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
273,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
333,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
495,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
563,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
621,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
598,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
545,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
443,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
422,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
397,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
385,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
350,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
303,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,2017,3,10,12,6,71,False,False,False,False,False,False,0,1,0,0,0,1,0,1
285,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
186,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
112,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
65,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
41,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
82,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
200,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
498,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
937,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
509,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
311,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
379,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
393,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
391,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
338,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
341,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
375,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
515,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
807,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
568,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
398,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
397,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
353,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
248,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,2017,4,15,12,2,102,False,False,False,False,False,False,0,1,0,0,0,1,0,1
216,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
198,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
124,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
62,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
42,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
82,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
172,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
381,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
812,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
462,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
269,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
334,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
321,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
325,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
334,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
353,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
435,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
529,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
789,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
597,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
418,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
415,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
393,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
244,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,2017,5,19,12,4,132,False,False,False,False,False,False,0,1,0,0,0,1,0,1
145,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
144,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
117,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
78,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
58,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
87,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
142,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
379,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
802,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
440,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
307,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
381,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
405,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
442,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
416,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
412,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
496,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
239,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
204,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
205,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
190,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
165,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
222,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
193,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,2017,6,24,12,0,163,False,False,False,False,False,False,0,1,0,0,0,1,0,1
198,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,2017,7,28,12,2,193,False,False,False,False,False,False,0,1,0,0,0,1,0,1
218,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,2017,7,28,12,2,193,False,False,False,False,False,False,0,1,0,0,0,1,0,1
149,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,2017,7,28,12,2,193,False,False,False,False,False,False,0,1,0,0,0,1,0,1
102,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,2017,7,28,12,2,193,False,False,False,False,False,False,0,1,0,0,0,1,0,1
